,datetime,LST
count,80,80.0
mean,2019-03-31 19:19:23.928787712,33.08782445134131
min,2013-10-26 09:44:56.663000,19.926263637764293
25%,2016-09-08 09:43:23.828250112,30.821830491234394
50%,2019-01-04 09:43:03.888999936,32.94070527442315
75%,2022-02-01 09:43:20.661999872,35.67040768130282
max,2024-12-27 09:43:14.740000,43.31677804408798
std,,4.080301273903614
