,datetime,LST
count,130,130.0
mean,2018-12-12 15:15:36.528738560,30.02387356197568
min,2013-06-04 09:45:14.905000,1.925949073889683
25%,2016-02-29 09:43:03.437250048,27.224011178665492
50%,2018-11-01 09:43:06.752000,30.007836065120983
75%,2021-09-02 09:43:25.215000064,32.93169017337678
max,2024-12-27 09:43:14.740000,40.17834294571122
std,,5.171947231132417
