,datetime,LST
count,80,80.0
mean,2019-03-31 19:19:23.928787712,31.349176341884124
min,2013-10-26 09:44:56.663000,22.417099368965125
25%,2016-09-08 09:43:23.828250112,28.9928646559801
50%,2019-01-04 09:43:03.888999936,31.380293274977248
75%,2022-02-01 09:43:20.661999872,34.24676768336484
max,2024-12-27 09:43:14.740000,39.91549706062341
std,,3.8358957905860955
