,datetime,LST
count,80,80.0
mean,2019-03-31 19:19:23.928787712,28.563712135007894
min,2013-10-26 09:44:56.663000,20.674006300031408
25%,2016-09-08 09:43:23.828250112,25.970147230957906
50%,2019-01-04 09:43:03.888999936,28.444225983789664
75%,2022-02-01 09:43:20.661999872,31.01521571898695
max,2024-12-27 09:43:14.740000,35.96475514290012
std,,3.5772918200892425
