,datetime,LST
count,80,80.0
mean,2019-03-31 19:19:23.928787712,31.40489793206033
min,2013-10-26 09:44:56.663000,22.343896952436864
25%,2016-09-08 09:43:23.828250112,29.084901606263287
50%,2019-01-04 09:43:03.888999936,31.32991974270101
75%,2022-02-01 09:43:20.661999872,34.36262310146148
max,2024-12-27 09:43:14.740000,40.0735690103607
std,,3.839292114909486
