,datetime,LST
count,80,80.0
mean,2019-03-31 19:19:23.928787712,32.16776905078077
min,2013-10-26 09:44:56.663000,23.169295217414515
25%,2016-09-08 09:43:23.828250112,29.815842436027282
50%,2019-01-04 09:43:03.888999936,31.968890854544014
75%,2022-02-01 09:43:20.661999872,35.170566990831404
max,2024-12-27 09:43:14.740000,41.16377376500259
std,,3.749570168581878
