,datetime,LST
count,80,80.0
mean,2019-03-31 19:19:23.928787712,33.29505894181984
min,2013-10-26 09:44:56.663000,24.529778469170992
25%,2016-09-08 09:43:23.828250112,30.467989249050518
50%,2019-01-04 09:43:03.888999936,33.21738425166362
75%,2022-02-01 09:43:20.661999872,36.19261492438436
max,2024-12-27 09:43:14.740000,42.55358170701686
std,,3.8284843142742484
