id,SAMPLE_1,x,y
91,50,8.4799843321,11.9487127736
328,40,8.4517201021,11.9315498625
529,60,8.4617096452,11.9289572583
237,20,8.4672169462,11.9246982133
137,10,8.4907584599,11.9269414033
525,30,8.4646581107,11.9384926257
